PRES,HGHT,TEMP,DWPT,RELH,MIXR,DRCT,SPED,THTA,THTE,THTV
1014.9,31,28.8,20.6,61,15.19,46,6.8,300.7,345.5,303.4
1014.0,39,27.7,20.1,64,14.80,55,4.7,299.6,343.1,302.3
1013.4,43,27.1,20.1,65,14.76,58,4.6,299.1,342.4,301.8
1013.2,46,26.7,19.9,66,14.55,60,4.8,298.8,341.4,301.4
1012.7,50,26.5,19.7,66,14.39,60,5.1,298.5,340.6,301.1
1012.0,56,26.3,19.6,67,14.36,60,5.5,298.4,340.4,301.0
1011.4,61,26.2,19.6,67,14.30,60,5.9,298.4,340.2,301.0
1010.9,66,26.2,19.4,66,14.15,61,6.2,298.4,339.7,300.9
1010.3,71,26.1,19.2,66,14.01,61,6.5,298.3,339.2,300.8
1009.7,76,26.0,19.1,66,13.89,62,6.8,298.3,338.9,300.8
1009.2,81,25.9,19.0,66,13.83,62,7.0,298.3,338.7,300.7
1008.6,86,25.8,19.0,66,13.82,62,7.3,298.2,338.6,300.7
1008.0,91,25.8,18.9,66,13.79,63,7.5,298.2,338.5,300.7
1007.5,96,25.7,18.9,66,13.75,63,7.7,298.2,338.4,300.7
1006.9,100,25.7,18.9,66,13.74,63,7.9,298.3,338.4,300.7
1006.4,105,25.7,18.9,66,13.75,64,8.0,298.3,338.4,300.7
1005.8,110,25.6,18.8,66,13.70,64,8.2,298.3,338.3,300.7
1005.3,115,25.6,18.7,66,13.63,64,8.3,298.3,338.1,300.7
1004.8,119,25.5,18.7,66,13.62,65,8.4,298.3,338.0,300.7
1004.2,124,25.5,18.8,66,13.71,65,8.5,298.3,338.3,300.7
1003.7,129,25.4,18.9,67,13.83,65,8.5,298.3,338.7,300.7
1003.2,133,25.4,19.0,68,13.92,66,8.6,298.2,338.9,300.7
1002.6,138,25.3,19.0,68,13.95,66,8.6,298.2,339.0,300.7
1002.1,143,25.3,19.0,68,13.96,66,8.6,298.2,339.0,300.7
1001.5,148,25.2,19.0,68,13.94,67,8.6,298.2,339.0,300.7
1000.9,153,25.2,19.0,69,13.97,67,8.6,298.3,339.1,300.8
1000.4,158,25.1,19.0,69,13.98,67,8.6,298.2,339.1,300.7
1000.0,161,25.1,19.0,69,13.96,67,8.6,298.2,339.0,300.7
999.8,163,25.1,19.0,69,13.95,67,8.6,298.3,339.0,300.8
999.3,167,25.1,19.0,69,13.95,67,8.6,298.3,339.0,300.8
998.7,172,25.0,19.0,69,13.96,68,8.6,298.3,339.0,300.8
998.1,178,25.0,19.0,70,14.00,68,8.6,298.3,339.2,300.8
997.5,183,24.9,19.0,70,13.98,68,8.6,298.3,339.1,300.8
996.9,188,24.8,18.9,70,13.91,68,8.5,298.3,338.9,300.7
996.3,193,24.8,18.8,69,13.87,68,8.5,298.3,338.8,300.7
995.7,199,24.7,18.8,70,13.85,68,8.5,298.2,338.7,300.7
995.1,204,24.7,18.7,70,13.80,68,8.5,298.2,338.6,300.7
994.5,210,24.6,18.7,69,13.73,68,8.5,298.2,338.4,300.7
993.9,215,24.6,18.6,69,13.68,68,8.5,298.3,338.2,300.7
993.3,220,24.5,18.6,69,13.66,68,8.5,298.3,338.2,300.7
992.7,225,24.5,18.5,69,13.66,68,8.5,298.3,338.2,300.7
992.2,230,24.4,18.6,70,13.69,68,8.5,298.3,338.2,300.7
991.6,235,24.4,18.6,70,13.73,68,8.5,298.3,338.4,300.7
991.1,240,24.4,18.6,70,13.76,68,8.5,298.3,338.5,300.7
990.5,245,24.3,18.6,71,13.77,67,8.5,298.3,338.5,300.7
990.0,250,24.3,18.6,71,13.76,67,8.5,298.3,338.5,300.7
989.5,254,24.2,18.6,71,13.78,67,8.5,298.3,338.5,300.7
988.9,259,24.2,18.6,71,13.78,67,8.5,298.3,338.5,300.7
988.4,264,24.1,18.7,72,13.82,67,8.5,298.3,338.6,300.7
987.8,269,24.1,18.7,72,13.90,67,8.5,298.3,338.9,300.7
